Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
1,Stephen Curry,GSW,$59606817,$62587158,,,,,$122193975,curryst01
2,Joel Embiid,PHI,$55224526,$57985752,$62624612,$67263472,,,$175834890,embiijo01
3,Nikola Jokić,DEN,$55224526,$59033114,$62841702,,,,$114257640,jokicni01
4,Kevin Durant,HOU,$54708609,,,,,,$54708609,duranke01
5,Jayson Tatum,BOS,$54126450,$58456566,$62786682,$67116798,$71446914,,$242486496,tatumja01
6,Giannis Antetokounmpo,MIL,$54126450,$58456566,$62786682,,,,$112583016,antetgi01
7,Anthony Davis,DAL,$54126450,$58456566,$62786682,,,,$112583016,davisan02
8,Jimmy Butler,GSW,$54126450,$56832773,,,,,$110959223,butleji01
9,Damian Lillard,MIL,$54126450,,,,,,$54126450,lillada01
10,Bradley Beal,PHO,$53666270,,,,,,$53666270,bealbr01
11,Jaylen Brown,BOS,$53142264,$57078728,$61015192,$64951656,,,$236187840,brownja02
12,Devin Booker,PHO,$53142264,$57078728,$61015192,,,,$171236184,bookede01
13,Karl-Anthony Towns,NYK,$53142264,$57078728,$61015192,,,,$110220992,townska01
14,LeBron James,LAL,$52627153,,,,,,$52627153,jamesle01
15,Paul George,PHI,$51666090,$54126380,$56586670,,,,$105792470,georgpa01
16,Kawhi Leonard,LAC,$50000000,$50300000,,,,,$100300000,leonaka01
17,Zach LaVine,SAC,$47499660,$48967380,,,,,$47499660,lavinza01
18,Evan Mobley,CLE,$46394100,$50105628,$53817156,$57528684,$51033510,,$258879078,mobleev01
19,Jamal Murray,DEN,$46394100,$50105628,$53817156,$57528684,,,$207845568,murraja01
20,Lauri Markkanen,UTA,$46394100,$46113154,$49824681,$53536209,,,$195868144,markkla01
21,Donovan Mitchell,CLE,$46394100,$50105628,$53817156,,,,$96499728,mitchdo01
22,Luka Dončić,LAL,$45999660,,,,,,$45999660,doncilu01
23,Trae Young,ATL,$45999660,$48967380,,,,,$45999660,youngtr01
24,Anthony Edwards,MIN,$45550512,$48924624,$52298736,$55672848,,,$202446720,edwaran01
25,Tyrese Haliburton,IND,$45550512,$48924624,$52298736,$55672848,,,$202446720,halibty01
26,Pascal Siakam,IND,$45550512,$48924624,$52298736,,,,$146773872,siakapa01
27,Domantas Sabonis,SAC,$43636000,$46772000,$49908000,,,,$140316000,sabondo01
28,OG Anunoby,NYK,$39568966,$42500000,$45431034,$48362068,,,$127500000,anunoog01
29,Zion Williamson,NOP,$39446090,$42166510,$44886930,,,,$126499530,willizi01
30,Ja Morant,MEM,$39446090,$42166510,$44886930,,,,$126499530,moranja01
31,Darius Garland,CLE,$39446090,$42166510,$44886930,,,,$126499530,garlada01
32,Scottie Barnes,TOR,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,barnesc01
